Condition,Power,Subject,Pair
IPL,-0.00740695052580997,1,1
IPL,-0.0315044709220637,2,1
IPL,-0.0325322173764344,3,1
IPL,0.00395887975942884,4,1
IPL,0.0451517541350314,4,2
IPL,0.0212601211969666,4,3
IPL,-0.0147111591863888,5,1
IPL,-0.029595807196641,5,2
IPL,0.00539359743202085,6,1
IPL,-0.00232115059279105,6,2
IPL,-0.00850719122857455,6,3
IPL,0.0268090475570716,7,1
IPL,-0.00379645094185266,7,2
IPL,0.00945669960287065,8,1
IPL,0.00390744568144718,8,2
IPL,-0.0104899117991326,8,3
IPL,-0.0221894927224228,8,4
IPL,-0.0172957832887876,9,1
IPL,-0.0136333494507809,9,2
IPL,0.00404632637840985,9,3
IPL,-0.0090334937443076,10,1
IPL,-0.0999361133139907,11,1
IPL,-0.00429341314759249,11,2
IPL,-0.0033100669038241,11,3
IPL,-0.0110060238677289,12,1
IPL,0.00978063159684063,12,2
IPL,0.00514758843539103,12,3
IPL,0.00353026588872999,12,4
IPL,-0.0134903294325591,12,5
IPL,-0.0190146375096617,12,6
IPL,-0.0428219832892464,13,1
IPL,-0.0151703161979886,14,1
IPL,0.00495502358839658,14,2
IPL,-0.00052966030195048,14,3
IPS,-0.0124740937252599,1,1
IPS,-0.0531643955132991,1,2
IPS,-0.00977855254342235,1,3
IPS,0.00551007426792235,1,4
IPS,-0.0243266951819279,2,1
IPS,0.0375591571803759,2,2
IPS,-0.0214665412849586,2,3
IPS,-0.011789485762913,2,4
IPS,0.0670026585485819,2,5
IPS,0.0460994137436246,2,6
IPS,-0.0590892276484199,2,7
IPS,-0.0300345657500688,2,8
IPS,-0.0475164414214857,2,9
IPS,-0.0461257765477112,2,10
IPS,0.0857847719044476,2,11
IPS,-0.0433838379337426,2,12
IPS,0.0962842213667057,2,13
IPS,0.0249099635240083,2,14
IPS,0.0973017473388958,2,15
IPS,0.105174775023519,2,16
IPS,-0.024950378096748,3,1
IPS,0.00519232304605969,3,2
IPS,-0.0118071253070787,3,3
IPS,-0.0140312114347259,3,4
IPS,-0.0112291666530022,3,5
IPS,-0.00208829609661947,3,6
IPS,-0.00760102168447208,3,7
IPS,-0.0844251826064359,4,1
IPS,-0.0269138469742684,4,2
IPS,-0.0411478957081566,4,3
IPS,-0.0172278671149514,4,4
IPS,-0.00822398408004953,4,5
IPS,0.0160847145711188,4,6
IPS,-0.00659005816207768,4,7
IPS,0.0111977465198317,4,8
IPS,0.017451503246961,4,9
IPS,0.00232527788832843,4,10
IPS,-0.00585750089930726,4,11
IPS,0.00616880291863322,5,1
IPS,0.0174300793739973,5,2
IPS,0.00829799916402285,5,3
IPS,-0.00925767388544759,5,4
IPS,-0.0176081272629013,6,1
IPS,0.0049774505837746,7,1
IPS,0.0108848415089649,7,2
IPS,-0.00731984699440017,7,3
IPS,0.0272439830143562,8,1
IPS,0.0337915772193138,8,2
IPS,0.0120033697344953,8,3
IPS,0.0569435030819443,8,4
IPS,-0.0398234806304593,8,5
IPS,0.0288086379986451,8,6
IPS,-0.00465589725221064,8,7
IPS,0.00365162675924015,9,1
IPS,-0.0150165985178708,9,2
IPS,0.0505504737925756,9,3
IPS,0.054116218755397,9,4
IPS,-0.016485049699653,9,5
IPS,0.0062446198114283,9,6
IPS,0.0225662273848563,10,1
IPS,-0.00732559950778754,11,1
IPS,-0.0615220963642916,12,1
IPS,-0.00944422887174533,12,2
IPS,-0.0187760070038089,12,3
IPS,-0.0386348456555936,12,4
IPS,-0.0682580725777787,12,5
IPS,0.0207135340643285,12,6
IPS,-0.0397772553136479,12,7
IPS,-0.0216961974005172,12,8
