Condition,PTE,Subject,Pair
Math,0.71824263031577,1,1
Math,1.25335485369195,1,2
Math,1.24214300678336,1,3
Math,1.27460723833086,1,4
Math,0.716088619807603,1,5
Math,1.2431189483242,1,6
Math,1.22662004273313,1,7
Math,1.27889662161221,1,8
Math,1.1839567950046,2,1
Math,1.26445734830294,2,2
Math,1.21318533741451,2,3
Math,1.22514793145031,2,4
Math,1.23766702784991,2,5
Math,1.16266018595727,2,6
Math,1.18525706271664,2,7
Math,1.1837925157287,3,1
Math,1.22296787168704,3,2
Math,1.2023712965319,3,3
Math,1.24375839096572,3,4
Math,1.06588697165956,3,5
Math,1.05070846943226,3,6
Math,1.28357426435669,4,1
Math,1.26206953709887,4,2
Math,1.30760661079737,4,3
Math,1.33027021406695,4,4
Math,1.30955344403066,4,5
Math,1.37385582797772,4,6
Math,1.17610669318701,4,7
Math,1.17130513817969,4,8
Math,1.18725752164351,4,9
Math,1.23305994324148,4,10
Math,1.31552311105784,4,11
Math,1.28152610435337,4,12
Math,1.32064045115866,4,13
Math,1.20331211678716,4,14
Math,1.24795053031111,4,15
Math,1.27156975600318,4,16
Math,1.13478362500382,5,1
Math,1.06973513012197,5,2
Math,1.08778801243553,5,3
Math,1.1672743815011,5,4
Math,1.07758114559781,5,5
Math,1.05509799730227,5,6
Math,1.04558955526446,5,7
Math,0.665439937875519,6,1
Math,0.510748872807714,6,2
Math,0.678154776356763,6,3
Math,0.374829662913696,6,4
Math,0.516382668891841,6,5
Math,0.839932759572,6,6
Math,0.800948609688957,6,7
Math,0.775478589314987,6,8
Math,0.629628258496066,6,9
Math,0.646005953776885,6,10
Math,0.535970341489564,6,11
Math,0.627502071131401,6,12
Math,0.478750531552834,6,13
Math,0.529993166498536,6,14
Math,0.813037193247438,6,15
Math,0.718107913581205,6,16
Math,0.659753138753672,6,17
Math,0.559990250325047,6,18
Math,0.687467612875744,6,19
Math,0.506924607145956,6,20
Math,0.649798802766532,6,21
Math,0.406388281425076,6,22
Math,0.501931179606341,6,23
Math,0.829433067360566,6,24
Math,0.817431461376509,6,25
Math,0.779583763722034,6,26
Math,0.642517777014301,6,27
Math,0.670975940159576,6,28
Math,0.492054241886142,6,29
Math,0.664050687631623,6,30
Math,0.394867106726361,6,31
Math,0.520632425984996,6,32
Math,0.82563214698942,6,33
Math,0.805778506365178,6,34
Math,0.772128827402836,6,35
Math,0.637997000073158,6,36
Math,0.631935367262153,6,37
Math,0.469443158040965,6,38
Math,0.602297687859106,6,39
Math,0.435724340591482,6,40
Math,0.489673463158552,6,41
Math,0.814207188861846,6,42
Math,0.749232763739559,6,43
Math,0.672852243970201,6,44
Math,0.558792320787415,6,45
Math,0.683324427116674,6,46
Math,0.531120814955905,6,47
Math,0.686916007315004,6,48
Math,0.407461730452263,6,49
Math,0.535845934258568,6,50
Math,0.82640828161392,6,51
Math,0.84148220079625,6,52
Math,0.797986720503466,6,53
Math,0.683582543448059,6,54
Math,1.09675621307128,7,1
Math,1.03805227239438,7,2
Math,1.09028527050532,7,3
Math,1.03184454586249,7,4
Math,1.08640654889012,7,5
Math,1.02720375958065,7,6
Math,1.04939860354369,7,7
Math,1.0499590028565,7,8
Math,1.09010819154669,7,9
Math,1.07698816555527,7,10
Math,1.03780697551607,7,11
Math,1.07908924441238,7,12
Math,1.00968062662726,7,13
Math,1.0638192000397,7,14
Math,1.06345197808724,7,15
Math,1.09373019185752,7,16
Math,1.140383665427,7,17
Math,1.018551759565,7,18
Math,1.06335501359353,7,19
Math,1.05096105841409,7,20
Math,1.07225069240374,7,21
Math,1.01546515659048,7,22
Math,1.07269636671967,7,23
Math,1.0135726164596,7,24
Math,1.08229006391064,7,25
Math,1.01428096563615,7,26
Math,1.02759772147266,7,27
Math,1.03802768890115,7,28
Math,1.07508676868985,7,29
Math,1.07817478199207,7,30
Math,1.02239913006205,7,31
Math,1.06729673739177,7,32
Math,1.01390449807294,7,33
Math,1.04811453506161,7,34
Math,1.04997406151069,7,35
Math,1.07848149373955,7,36
Math,1.13009928113062,7,37
Math,1.01507954439681,7,38
Math,1.05786608981473,7,39
Math,1.04626553576431,7,40
Math,1.06409323156717,7,41
Math,0.988920241265818,7,42
Math,1.05184473499862,7,43
Math,0.999044043072494,7,44
Math,1.05919197823225,7,45
Math,0.990790142899795,7,46
Math,1.00188816857365,7,47
Math,1.01989275154964,7,48
Math,1.05959101213768,7,49
Math,1.0474348860318,7,50
Math,1.00244881192502,7,51
Math,1.05298736571904,7,52
Math,0.995602591763299,7,53
Math,1.04214422306399,7,54
Math,1.03808211197143,7,55
Math,1.0589347431614,7,56
Math,1.109735967256,7,57
Math,0.985848211601679,7,58
Math,1.03561551735101,7,59
Math,1.0173363298327,7,60
Math,1.07054545773484,7,61
Math,1.01756405741153,7,62
Math,1.06590936781891,7,63
Math,1.00107506977842,7,64
Math,1.06128834729843,7,65
Math,1.00999282747786,7,66
Math,1.01708297066628,7,67
Math,1.03558990071928,7,68
Math,1.07186998165267,7,69
Math,1.0694284803245,7,70
Math,1.01746328692421,7,71
Math,1.06232460186263,7,72
Math,1.00566423560012,7,73
Math,1.04305835088859,7,74
Math,1.04545770004803,7,75
Math,1.08068660777365,7,76
Math,1.13525261689846,7,77
Math,1.01306735977819,7,78
Math,1.04793772331316,7,79
Math,1.04476231135621,7,80
Math,1.10775680558291,7,81
Math,1.04975166577567,7,82
Math,1.10749181323403,7,83
Math,1.02844450070942,7,84
Math,1.1016763514166,7,85
Math,1.03855129046214,7,86
Math,1.04656693382406,7,87
Math,1.05614035742541,7,88
Math,1.10460119077137,7,89
Math,1.09938140836465,7,90
Math,1.04651550174485,7,91
Math,1.08907241863949,7,92
Math,1.03447318803113,7,93
Math,1.07379024670073,7,94
Math,1.07902152729691,7,95
Math,1.10853212454264,7,96
Math,1.1520833117664,7,97
Math,1.02636737628939,7,98
Math,1.08303618832486,7,99
Math,1.07348363188906,7,100
Math,1.17317647790074,7,101
Math,1.10896548645084,7,102
Math,1.16169942513119,7,103
