Condition,PTE,Subject,Pair
FG,-0.141484261900731,1,1
FG,0.0391152487897222,1,2
FG,-0.203684973138135,1,3
FG,-0.0197518139097574,1,4
FG,-0.790823207892068,2,1
FG,-0.790153576052101,2,2
FG,-0.783352402379017,2,3
FG,-0.752129359667351,2,4
FG,-0.684210211138663,2,5
FG,-0.835258675438333,2,6
FG,-0.907590377920862,2,7
FG,-0.789060918716172,2,8
FG,-0.879814268051884,2,9
FG,-0.899646611225321,2,10
FG,-0.780562301563476,2,11
FG,-0.856259313014871,2,12
FG,-0.794391168844546,2,13
FG,-0.857273141692286,2,14
FG,-0.759434761984566,2,15
FG,-0.607586707694453,2,16
FG,-0.71805924250548,2,17
FG,0.0139813987390474,3,1
FG,-0.00604949597143212,3,2
FG,0.0359193874611705,3,3
FG,-0.0870297273798746,3,4
FG,0.0441436193725775,3,5
FG,0.0446953838902981,3,6
FG,0.0913800581191841,3,7
FG,-0.022853715077346,3,8
FG,0.184636307773956,3,9
FG,0.192518185311176,3,10
FG,0.223007751974147,3,11
FG,0.118664109516614,3,12
FG,0.00839573415246075,4,1
FG,0.203676113486325,4,2
FG,0.292072540002994,4,3
FG,0.151732355636417,4,4
FG,0.511598064876725,4,5
FG,0.10977684443773,4,6
FG,0.144911820145525,4,7
FG,0.104603014718949,4,8
FG,-0.141709426238752,4,9
FG,0.0940398384244403,4,10
FG,0.19565368211873,4,11
FG,0.0365648803639251,4,12
FG,0.4379287130055,4,13
FG,-0.0135997184926269,4,14
FG,0.0181613443713424,4,15
FG,-0.0491322835984052,4,16
FG,-0.0148202474232653,4,17
FG,0.210388963261278,4,18
FG,0.312142961923577,4,19
FG,0.154317251924714,4,20
FG,0.528169346899586,4,21
FG,0.0992737479008903,4,22
FG,0.138271992464738,4,23
FG,0.072292499170757,4,24
FG,-0.0358356888192319,5,1
FG,-0.116437181932428,5,2
FG,0.0980734514862532,5,3
FG,-0.0532067109651801,5,4
FG,0.146373938931436,5,5
FG,0.0375328885676049,5,6
FG,0.0803110507839676,5,7
FG,0.092008434411865,5,8
FG,0.0669708610135868,5,9
FG,0.086487849883603,5,10
FG,0.0166612257430081,5,11
FG,-0.0735515957988475,5,12
FG,-0.0667950055561471,5,13
FG,0.0492915340775882,5,14
FG,0.019149276461063,5,15
FG,0.288101220702141,5,16
FG,0.23742384908079,5,17
FG,0.173869088640562,5,18
FG,-0.1618381569953,5,19
FG,-0.267161012933377,5,20
FG,0.0136776947571764,5,21
FG,-0.196766408500471,5,22
FG,0.0640649320164526,5,23
FG,-0.0861896698899491,5,24
FG,-0.0289242328854786,5,25
FG,-0.038669324705086,5,26
FG,-0.066070062478242,5,27
FG,-0.0153260603863576,5,28
FG,-0.0932320709342436,5,29
FG,-0.212013666996325,5,30
FG,-0.210084520315928,5,31
FG,-0.102283428754632,5,32
FG,-0.13628413019735,5,33
FG,0.174697897177956,5,34
FG,0.119228583505138,5,35
FG,0.0460458301107611,5,36
FG,-0.197418777055618,5,37
FG,-0.27599793027956,5,38
FG,-0.0683760788216101,5,39
FG,-0.243687573245099,5,40
FG,-0.0531587460746892,5,41
FG,-0.137415331661783,5,42
FG,-0.085196543663654,5,43
FG,-0.11591794716173,5,44
FG,-0.134313917595966,5,45
FG,-0.123927995264642,5,46
FG,-0.145642428582662,5,47
FG,-0.235721402771766,5,48
FG,-0.246200442464522,5,49
FG,-0.149132345671235,5,50
FG,-0.190421578618886,5,51
FG,0.0778516006876051,5,52
FG,0.0330690632596931,5,53
FG,-0.05155834256878,5,54
FG,-0.121968368951059,5,55
FG,-0.209884169846069,5,56
FG,0.0331762463911578,5,57
FG,-0.146832319807896,5,58
FG,0.0875082875794491,5,59
FG,-0.0562732758150217,5,60
FG,0.00162015904481438,5,61
FG,0.0317419160965153,5,62
FG,-0.00768962180546962,5,63
FG,0.0231883152435131,5,64
FG,-0.0487720602822777,5,65
FG,-0.166865034716492,5,66
FG,-0.182302690029509,5,67
FG,-0.0593061164824974,5,68
FG,-0.086116282051963,5,69
FG,0.219785182281267,5,70
FG,0.175003197760136,5,71
FG,0.0964683060459539,5,72
FG,-0.0492172839615133,5,73
FG,-0.145632286716607,5,74
FG,0.092774246372699,5,75
FG,-0.0672961881555958,5,76
FG,0.143843073983754,5,77
FG,-0.00560588910627335,5,78
FG,0.060366142444406,5,79
FG,0.0795773846640777,5,80
FG,0.0547527291024879,5,81
FG,0.0965931346471618,5,82
FG,0.00516196590728091,5,83
FG,-0.0819360242872783,5,84
FG,-0.0877318325042551,5,85
FG,0.0326716477170161,5,86
FG,-0.0127952003531981,5,87
FG,0.276165725809893,5,88
FG,0.232778713037737,5,89
FG,0.164879450887925,5,90
FG,-0.053211294632086,6,1
FG,-0.0165645523210698,6,2
FG,0.0216845040151437,6,3
FG,0.107844649547814,6,4
FG,0.0562578109631873,6,5
FG,-0.220428140662217,6,6
FG,0.0798294790397482,6,7
FG,-0.208765334073566,6,8
FG,-0.128754679963884,6,9
FG,-0.164553337942474,6,10
FG,-0.0333851001731043,6,11
FG,-0.0134582162908528,6,12
FG,-0.0614746003072466,6,13
FG,0.000551777881113935,6,14
FG,-0.0320340172316429,6,15
FG,-0.0841630016385122,6,16
FG,-0.0525868663478621,6,17
FG,-0.167231901727546,6,18
FG,-0.171509142728459,6,19
FG,-0.125040668921998,6,20
FG,-0.0615013384347864,6,21
FG,-0.0852588535019017,6,22
FG,-0.349816844961845,6,23
FG,-0.0720304671229934,6,24
FG,-0.337284058430957,6,25
FG,-0.283982982705802,6,26
FG,-0.30419711619619,6,27
FG,-0.139045638187431,6,28
FG,-0.166915281521278,6,29
FG,-0.191876357303705,6,30
FG,-0.170830674825343,6,31
FG,-0.141429399634871,6,32
FG,-0.216229849791083,6,33
FG,-0.220299804893058,6,34
FG,-0.108409946239455,6,35
FG,-0.113609059362889,6,36
FG,-0.0449454096880773,6,37
FG,0.0304129799442816,6,38
FG,-0.0396227052895026,6,39
FG,-0.290861789234687,6,40
