Condition,PTE,Subject,Pair
Math,1.424636876281,1,1
Math,1.36755881936762,1,2
Math,1.43983635483,1,3
Math,1.29776034533879,1,4
Math,1.35599598049577,1,5
Math,1.44670167677286,1,6
Math,1.39293174411021,1,7
Math,1.26410699860168,1,8
Math,1.52316596518254,1,9
Math,1.51012324708929,1,10
Math,1.45606872046764,1,11
Math,1.37212169911929,1,12
Math,1.28191226625042,1,13
Math,1.27299910002897,1,14
Math,1.28713459558236,1,15
Math,1.21655255786218,1,16
Math,1.14494468917677,2,1
Math,1.13486570105824,2,2
Math,1.05952317155922,2,3
Math,1.29998334149508,3,1
Math,1.34958798427424,3,2
Math,1.31077869059707,3,3
Math,1.29471215551674,3,4
Math,1.23447222959043,3,5
Math,1.09470565988289,3,6
Math,1.18100272220712,3,7
Math,1.27395737355603,3,8
Math,1.27379049303936,3,9
Math,1.30808536791783,3,10
Math,1.29807636935171,3,11
Math,1.1029108200321,4,1
Math,1.0867619884237,4,2
Math,1.11279022962864,4,3
Math,1.08036067459142,4,4
Math,1.08999726600937,4,5
Math,1.10083892254331,4,6
Math,0.643216118815248,5,1
Math,0.490646490947174,5,2
Math,0.636073412926037,5,3
Math,0.390165422173786,5,4
Math,0.508616220834692,5,5
Math,0.830391605664134,5,6
Math,0.777920668603791,5,7
Math,0.718183261892552,5,8
Math,0.613998020591725,5,9
Math,0.662698930622047,5,10
Math,0.479892511573083,5,11
Math,0.593180497583212,5,12
Math,0.441410882810985,5,13
Math,0.494789636426121,5,14
Math,0.80381223099896,5,15
Math,0.715510669307843,5,16
Math,0.67129740287618,5,17
Math,0.576294814678462,5,18
Math,0.726070978572915,5,19
Math,0.55923515605586,5,20
Math,0.766130016827129,5,21
Math,0.436764613869723,5,22
Math,0.597107468119851,5,23
Math,0.881472293916583,5,24
Math,0.887869256559967,5,25
Math,0.83465479721806,5,26
Math,0.558504976171919,5,27
Math,0.661054283618151,5,28
Math,0.511614133440903,5,29
Math,0.621263835225665,5,30
Math,0.375480257997847,5,31
Math,0.48848787709314,5,32
Math,0.825734511810332,5,33
Math,0.795012865453232,5,34
Math,0.763579611151418,5,35
Math,0.630456211266651,5,36
Math,0.661574692552734,5,37
Math,0.497138798874439,5,38
Math,0.647073529393576,5,39
Math,0.467989337805859,5,40
Math,0.568714208465185,5,41
Math,0.802017212856692,5,42
Math,0.735337849554728,5,43
Math,0.651802567899912,5,44
Math,0.571113349425936,5,45
Math,0.622178728053399,5,46
Math,0.520178122067633,5,47
